,Ticker,PnL,ReturnPct,EntryPrice,EntryCommission,EntrySlippage,EntryMarketValue,TotalEntryCost,AuxilaryEntryCost,ExitPrice,ExitCommission,ExitSlippage,ExitMarketValue,TotalExitCost,AuxilaryExitCost,Quantity,EntryTime,ExitTime,Duration,Positions,SignalID
0,SBUX,-657.2148463176858,-0.3541305292761601,185.58548105440883,13.0,42.85481054408757,1842.8548105440882,18.55854810544088,55.85481054408757,119.86399642264026,13.0,-63.360035773596834,1211.6399642264025,11.986399642264026,76.36003577359683,10,2023-01-04,2023-03-14,69,&L:SBUX20240119C115&S:SBUX20240119C120,SBUX20230104LONG
1,BA,-11.226765456511657,-0.027138239574004113,206.84402586057655,2.6,21.088051721153267,411.08805172115314,4.136880517211531,23.68805172115327,201.23064313232072,2.6,-19.938713735358604,405.0612862646414,4.024612862646414,22.538713735358606,2,2023-01-04,2023-09-11,250,&L:BA20240119C220&S:BA20240119C225,BA20230104LONG
2,NVDA,3649.958871426879,1.3101992476214326,198.9860308898547,18.200000000000003,142.60443245796117,2767.604432457966,27.85804432457966,160.80443245796118,459.6973788489175,18.200000000000003,-336.03669611510674,6453.963303884845,64.35763303884845,354.2366961151067,14,2023-01-19,2023-12-20,335,&L:NVDA20240119C205&S:NVDA20240119C210,NVDA20230119LONG
3,NFLX,-568.3599393271894,-0.5942248040243369,159.41215498411268,7.800000000000002,48.67292990467824,948.6729299046762,9.56472929904676,56.472929904678246,64.6854984295811,7.800000000000002,-24.087009422512963,395.9129905774866,3.8811299057748663,31.887009422512964,6,2023-01-24,2023-09-27,246,&L:NFLX20240119C455&S:NFLX20240119C460,NFLX20230124LONG
4,META,900.7240301848811,1.5837379337258413,189.57766749238877,3.900000000000001,32.33300247716673,564.8330024771664,5.687330024771663,36.23300247716673,489.8190108873492,3.900000000000001,-101.64296733795241,1473.3570326620477,14.694570326620477,105.54296733795242,3,2023-01-30,2023-12-21,325,&L:META20240119C165&S:META20240119C170,META20230130LONG
5,AMD,77.43583190318805,0.03719648072481948,173.4837776635831,15.600000000000003,86.20533196299522,2066.2053319629977,20.818053319629975,101.80533196299523,179.93676365551545,15.600000000000003,-135.15883613381448,2174.8411638661855,21.592411638661854,150.75883613381447,12,2023-02-02,2023-09-21,231,&L:AMD20240119C100&S:AMD20240119C105,AMD20230202LONG
6,AAPL,-356.1790464640741,-0.19786484045868766,200.01254146707447,11.700000000000001,100.91287320367019,1788.41287320367,18.0011287320367,112.61287320367019,160.43709185995513,11.700000000000001,-29.366173260403162,1455.6338267395963,14.439338267395962,41.06617326040316,9,2023-02-03,2023-02-27,24,&L:AAPL20240119C170&S:AAPL20240119C175,AAPL20230203LONG
7,AAPL,239.82571926352503,0.17304647330008438,197.9862194488868,9.100000000000001,64.3035361422076,1376.8035361422076,13.859035361422075,73.4035361422076,232.24703648653323,9.100000000000001,-115.17074459426722,1634.8292554057327,16.257292554057326,124.27074459426723,7,2023-03-06,2023-10-26,234,&L:AAPL20240315C170&S:AAPL20240315C175,AAPL20230306LONG
8,SBUX,-278.41718656825776,-0.2290227764984821,202.6124437817673,7.800000000000002,67.87466269060367,1207.8746626906038,12.156746626906038,75.67466269060367,156.20957935372434,7.800000000000002,-29.942523877654104,945.0574761223459,9.37257476122346,37.74252387765411,6,2023-04-19,2023-05-04,15,&L:SBUX20240119C115&S:SBUX20240119C120,SBUX20230418LONG
9,AMZN,469.4611597542855,0.4806796824127378,195.33222515162626,6.5,57.66112575813131,970.1611257581312,9.766611257581312,64.1611257581313,289.22445710248337,6.5,-47.3777144875831,1452.622285512417,14.46122285512417,53.8777144875831,5,2023-04-28,2023-10-26,181,&L:AMZN20240315C135&S:AMZN20240315C145,AMZN20230428LONG
