,Ticker,PnL,EntryPrice,ExitPrice,ReturnPct,Quantity,EntryTime,ExitTime,Duration,Positions
0,TSLA,-209.9972949197147,199.63160446886852,157.6321454849256,-21.038481905550448,5,2023-07-05,2023-08-02,28,&L:TSLA20240621C333.33&S:TSLA20240621C340
1,AAPL,-0.9293585195910055,200.34118849823255,200.03140232503554,-0.15462929790881957,3,2023-07-05,2023-08-04,30,&L:AAPL20240621C230&S:AAPL20240621C240
2,MSFT,-120.04496460816551,200.24693841635846,160.23195021363662,-19.98282146992014,3,2023-07-05,2023-08-09,35,&L:MSFT20240621C370&S:MSFT20240621C375
3,AMZN,0.0,,,,0,2023-07-05,2023-10-25,112,&L:AMZN20240621C170&S:AMZN20240621C182.5
4,NVDA,11113.696594363595,190.3587135957218,2968.7828621866206,1459.572874868042,4,2023-07-05,2024-07-01,362,&L:NVDA20240621C770&S:NVDA20240621C800
5,BA,0.0,,,,0,2023-08-10,2023-08-17,7,&L:BA20240621C300&S:BA20240621C310
6,WMT,0.0,,,,0,2023-08-10,2023-08-17,7,&L:WMT20240621C175&S:WMT20240621C180
7,TSLA,-19.266677075675375,199.8065831004636,194.98991383154475,-2.410665952130817,4,2023-08-17,2023-10-20,64,&L:TSLA20240920C305&S:TSLA20240920C315
8,AAPL,-147.577284028998,198.42315767810058,149.23072966843458,-24.791676831123848,3,2023-08-31,2023-09-07,7,&L:AAPL20240920C260&S:AAPL20240920C310
9,INTC,0.0,,,,0,2023-09-15,2023-09-20,5,&L:INTC20240621C40&S:INTC20240621C45
10,QCOM,0.0,,,,0,2023-11-13,2024-07-01,231,&L:QCOM20250117C135&S:QCOM20250117C140
11,MSFT,779.8668375261628,194.95631058721904,454.91192309594,133.34044521345345,3,2023-11-14,2024-07-01,230,&L:MSFT20241220C395&S:MSFT20241220C400
12,SBUX,-90.89586514156707,192.8421505149596,147.39421794417606,-23.567426752616484,2,2023-11-15,2023-11-29,14,&L:SBUX20250117C115&S:SBUX20250117C120
13,AMD,240.19116156332382,185.00302965930894,425.19419122263275,129.83093412342825,1,2023-11-15,2024-07-01,229,&L:AMD20240920C180&S:AMD20240920C200
14,MU,0.0,,,,0,2023-11-16,2024-07-01,228,&L:MU20250117C85&S:MU20250117C90
15,INTC,0.0,,,,0,2023-11-17,2024-04-03,138,&L:INTC20240920C42&S:INTC20240920C45
16,DIS,0.0,,,,0,2023-11-17,2024-01-10,54,&L:DIS20240920C115&S:DIS20240920C125
17,AAPL,-90.37867056698389,185.36793898583218,140.17860370234024,-24.37818294292294,2,2023-11-22,2024-01-04,43,&L:AAPL20241220C215&S:AAPL20241220C220
18,BAC,371.07704326638475,198.6968296344646,569.7738729008494,186.75539209611037,1,2023-12-01,2024-07-01,213,&L:BAC20250117C35&S:BAC20250117C55
19,HD,397.23608769544035,74.93478481192562,207.34681404373907,176.70302191985544,3,2023-12-04,2024-04-17,135,&L:HD20250117C390&S:HD20250117C400
20,BA,0.0,,,,0,2023-12-04,2024-01-12,39,&L:BA20250117C310&S:BA20250117C320
21,GOOG,89.4069916878172,200.4010126978939,245.1045085418025,22.30702092873127,2,2024-01-26,2024-01-31,5,&L:GOOG20250117C155&S:GOOG20250117C160
22,WMT,0.0,,,,0,2024-02-05,2024-07-01,147,&L:WMT20250117C185&S:WMT20250117C190
23,DIS,0.0,,,,0,2024-02-07,2024-05-16,99,&L:DIS20250117C130&S:DIS20250117C150
24,AMZN,0.0,,,,0,2024-02-08,2024-07-01,144,&L:AMZN20250117C185&S:AMZN20250117C190
25,AAPL,24.917933084183915,187.44287127820542,199.90183782029737,6.646807348357451,2,2024-05-21,2024-07-01,41,&L:AAPL20250620C225&S:AAPL20250620C230
